Name,YearPublished,GameWeight,AvgRating,MaxPlayers
Wildlife Adventure,1985,1.8814,6.80333,6
Eurorails,1990,2.7397,7.08606,6
The Awful Green Things From Outer Space,1979,1.8759,6.5277,2
Balderdash,1984,1.4139,6.46347,6
"Before I Kill You, Mister Spy...",1996,1.2672,5.43186,6
Black Box,1977,2.0658,6.37984,2
Black Death,1993,1.8421,5.74632,6
Dicke Kartoffeln,1989,3.4286,6.22516,6
Empire Builder,1982,2.6212,6.94845,6
En Garde,1993,1.4032,6.49615,2
Family Business,1982,1.3237,6.08037,6
Chess,1475,3.6886,7.15112,2
For Sale,1997,1.2605,7.2261,6
Formula Dé,1997,1.9589,6.99426,10
T-Rex,1999,1.9048,5.50672,5
What the Heck?,1988,1.1707,6.4631,5
Give Me the Brain!,1996,1.2743,5.83947,8
Mole Hill,1997,1.7188,6.00392,2
Nuba,1995,2,6.30333,2
Pool Position,1999,1.7273,5.72889,5
Risk,1959,2.0792,5.59396,6
Knights of Charlemagne,1995,1.4286,6.36689,4
Stonehenge,1994,1.8571,6.31591,2
Devil Bunny Needs a Ham,1998,1.1667,5.39487,5
Split,1999,1.1333,5.92335,6
Go,-2200,3.942,7.63525,2
Die Siedler von Nürnberg,1999,2.7792,6.91488,4
Dolce Vita,1999,1.6875,6.12296,5
Nicht die Bohne!,1999,1.3619,6.32766,6
Fill or Bust,1981,1.1667,5.68869,10
Groo: The Game,1997,1.5,6.30273,4
NASCAR Champions,1998,1.1111,5.4075,5
Kremlin,1986,2.8409,6.96405,6
HellRail: Second Perdition,1999,2,6.07946,4
Buried Treasure,1992,1.5714,6.02409,4
Manhattan,1994,1.9211,6.72653,4
Entdecker,1996,2.2362,6.42113,4
The Rose King,1992,1.9561,6.80763,4
Targui,1988,2.3793,6.37571,4
Stephenson's Rocket,1999,3.0595,6.89849,4
Pepper,1998,1.7778,6.00582,9
Twitch,1998,1.1667,6.08278,6
Ex & Hopp,1996,1.2,5.43676,6
Don Pepe,1999,1.3103,6.22488,6
Times to Remember,1992,1.1333,6.30685,10
Café International,1989,1.6651,6.23001,4
Tichu,1991,2.3413,7.57817,4
Atlanteon,1992,2.0267,5.81768,2
A la carte,1989,1.3017,6.45981,4
High-Bid,1965,1.8125,5.81772,4
Volle Hütte,1997,2.0909,6.18946,5
High Society,1995,1.5,7.09497,5
Ikusa,1986,2.9509,7.02371,5
Space Beans,1999,1.3866,6.08937,6
Expedition,1996,1.976,6.81952,6
History of the World,1991,2.7703,7.12299,6
Icehouse,1989,2.5957,6.63562,5
Isi,1999,0,6.57927,2
Lunch Money,1996,1.515,5.63527,4
King of the Elves,1999,2.0165,6.21133,6
Merchant of Venus,1988,2.8345,7.14422,6
Geronimo,1995,3.1935,5.71904,5
Serenissima,1996,3.0392,6.85917,4
Hannibal: Rome vs. Carthage,1996,3.4458,7.80012,2
Blackbeard,1991,3.195,6.35591,4
Wooden Ships & Iron Men,1974,3.1193,7.05421,2
"Wagram: The Peace of Vienna, 5-6 July 1809",1975,2.1538,6.7265,2
Britannia,1986,3.1676,7.20039,5
Age of Exploration,1994,3.0625,6.01383,6
Junta,1978,2.8699,6.69389,7
Advanced Squad Leader,1985,4.7321,8.00152,2
Circus Maximus,1979,2.6485,6.75117,10
Politika,1996,1.6667,4.99641,7
Gloria Picktoria,1996,1.4815,6.34728,5
Blood Royale,1987,3.3231,6.55809,5
Lifeboats,1993,1.7862,6.58545,6
Colonial Diplomacy,1994,2.8182,6.61759,7
The Battle of Borodino: Napoleon in Russia 1812,1972,2.1071,6.71993,2
Empires in Arms,1983,4.4067,7.61853,7
Jena-Auerstadt: The Battle for Prussia,1975,2.1,5.96774,2
Mississippi Queen,1997,1.6949,6.33296,5
Kill Doctor Lucky,1996,1.646,6.15477,8
Fluxx,1997,1.3897,5.67195,6
Atlantic Storm,1997,2.0526,6.53474,6
Starship Troopers: Prepare For Battle!,1997,2.0435,5.78416,4
Olympia 2000 (v. Chr.),1994,1.3846,6.05007,5
Manitou,1997,1.9655,6.10279,4
Enemy in Sight,1988,1.6933,6.23252,8
Intrigue,1994,1.9351,6.36969,5
Tycoon,1998,2.6456,6.77221,4
Cheops,1998,2.16,6.15693,5
Svea Rike,1996,2.4651,6.39528,5
