Name,YearPublished,GameWeight,AvgRating,MaxPlayers
Coco Crazy,1992,1.1,5.45422,8
The Hamsters,1986,1,4.62642,6
Spinball,2001,1.1875,6.91435,2
Car Wars,1981,3.0976,6.4077,8
Arabian Nightmare: The Kuwait War,1990,3.7222,5.20306,3
The Ironclads: A Tactical Level Game of Naval Combat in the American Civil War 1861-1865,1979,3.5143,7.33756,8
War in Europe,1976,3.9091,7.14354,3
U-Boat,1959,2.1818,5.70724,6
The Russian Campaign,1974,2.8611,7.30634,2
Star Force Terra #1: Contact!,1991,1.85,6.25798,6
Blind Justice,1989,1.7143,4.77013,6
Platoon,1986,2.0833,5.91562,2
Rapid Recall,1993,1.5,6.22975,100
Crossfire,1971,1.1282,5.33362,2
Delta V,2001,1.6176,4.97338,4
UNO Attack!,1999,1.2118,5.43512,10
Trivial Pursuit: Genus 5,2000,1.8372,5.53995,24
UNO Stacko,1994,1.1429,5.5138,10
Finish Lines,1997,1.5,5.00904,6
Sixteen Thirty Something,1995,2.5,6.14312,6
Jackpot Yahtzee,1980,1.1429,5.99011,4
Great Western Railway Game,1985,1,5.24054,6
Wanted!,1999,1,5.68981,5
Dragon Lance Mage Stones,1990,1.4545,5.97845,6
Loaded Questions,1997,1.2951,5.91377,6
Fair Play,1997,1.1667,5.77267,6
Heuchel und Meuchel,1990,1.5385,5.16463,6
Tennis,1975,1.0833,4.80252,4
TransAmerica,2001,1.3494,6.67108,6
Absacker,1998,1.0857,5.63775,5
Throneworld,1997,3.55,6.6503,6
Star Fist,1991,2,5.21564,2
Liftoff!,1989,2.9286,7.00594,4
Exploration,1967,1.4444,5.56798,5
Stare!,1993,1.6429,5.01359,10
BrewMaster: The Craft Beer Game,2001,1.6667,5.6183,5
Jungle Jam,2000,1.2632,6.13123,10
Mathable,1987,2.1667,5.45616,4
Piecepack,2001,2.4,7.03704,0
The Great Downhill Ski Game,1970,1.3333,6.12703,4
Automania: The Game of the Motor Giants,1991,1.8333,5.96747,6
The London Game,1972,1.5238,5.38925,6
The Baton Races of Yaz,1984,1.8571,5.49754,2
Eye,1987,2.3333,4.19667,4
Kookaburra Game,2000,1.6667,5.17073,4
Terrace,1992,2.5098,6.37922,4
Patton in Flames,2000,4.9167,6.96308,3
Mage Knight Dungeons,2002,2.4769,6.68162,4
ThinkBlot,1997,1,4.39819,6
Encore,1989,1.2593,5.87625,8
Panzer Grenadier,1998,2.9744,6.23058,2
The Book of Classic Board Games,1991,1.8333,6.62296,4
Pathfinder,1974,1.1739,6.21974,2
C.V.: A Game of the Battle of Midway,1979,3.75,7.3396,4
The Yeti Slalom,2001,1.3333,4.90016,5
Starfire II,1980,2.6923,6.64179,3
Golem,1995,1.3333,6.78147,6
Starfire,1979,2.697,6.88148,3
Nanofictionary,2002,1.4643,5.80839,6
In Pursuit,2001,1.8333,5.56329,8
GolfMania,1997,1.25,5.14428,6
Twilight Imperium: Armada,2001,2.75,6.7555,6
The Hunt for Red October,1988,2.46,5.9596,2
John Prados' Third Reich,2001,4,6.47816,5
James Clavell's Tai-Pan,1981,2.3333,5.96167,4
Power Lunch,1994,1.5,2.73654,6
Point-Blank,1979,1.3333,5.62045,2
File 13,1983,1,5.19392,4
Age of Chivalry,1992,1.8571,6.18448,2
The Last Crusade,1995,2.625,6.62381,2
Search for the Emperor's Treasure,1981,1.7619,6.95323,10
Highway to the Kremlin: Napoleon's March on Moscow,2001,3.7143,7.68603,4
The Game of Life,1960,1.1739,4.30908,6
Chairs,1999,1.0392,5.68324,99
Listen Up!,1997,1.25,5.48387,8
The Dukes of Hazzard Game,1981,1,4.947,4
Slasher: The Final Cut,1994,1.8,5.73387,6
Monopoly: The .com Edition,2000,1.4,4.98811,8
Hnefatafl,400,2.5408,6.6077,2
Ringside,1980,2,5.5,2
Tashkent Domino,1995,1,5.59756,2
Dice Run,2002,1.413,5.92435,6
Diceland,2002,2,5.58593,2
Zatre,1990,2.0435,6.38258,6
A Dog's Life,2001,1.8413,5.5317,6
Romance of the Three Kingdoms Card Game,1999,1.6667,4.70192,6
Admirals,1972,1.7619,5.61608,2
Lepanto,0,2,5.81475,4
Halli Galli,1990,1.0172,5.79069,6
Pipeline,1993,1.1538,5.48785,4
Broker,1961,2.0682,5.79061,6
Trivial Pursuit: Genus Edition,1981,1.6438,5.23306,24
Mexica,2002,2.6919,7.23364,4
Dirty Minds: The Game of Naughty Clues,1990,1.1538,4.07348,6
Trivial Pursuit: The 1980's,1989,1.8125,5.21677,6
Let's Buy Hollywood,1991,1.75,5.91497,6
Camden,2002,1.9091,6.26127,4
Confusion:  Espionage and Deception in the Cold War,1992,2.4111,7.07637,2
Inner Circle,1981,1.6452,5.41762,4
Stockmarket,1987,2.5,6.7573,6
Kendo,1976,2.3529,6.00724,4
Ka-Ching!,2001,1.4815,6.42821,4
Squatter,1960,1.5185,5.76477,6
Kojak Detective Game,1975,2,4.17045,4
Fantasy Business,2002,1.5926,5.55869,8
Scoop,1953,1.5455,5.7036,4
Origins of World War II,1971,2.1148,5.99265,5
Stratego 4,1995,1.875,6.05845,4
Bionicle Adventure Game: Quest For Makuta,2001,2,4.13293,6
The Simpsons Trivia Game,2000,1.3684,4.50881,5
Breaking Away,1991,2.2759,7.3133,9
Web and Starship,1984,3.5333,6.40409,3
Pirate's Cove,2002,2.0063,6.57101,5
Sticks & Stones,1978,1.75,6.01486,2
Instinct,1998,1.3636,5.76175,6
Balanx,1993,1.9474,5.31658,2
Mandala,1983,1.6667,5.6875,4
Guderian's Blitzkrieg: The Drive on Moscow,1992,3.7857,7.01444,2
Sniper!,1973,3.3636,6.28062,2
Dodge City,1983,2.6,5.59167,5
Soldier Kings: The Seven Years War Worldwide,2002,2.439,6.38125,8
Reds! The Russian Civil War 1918-1921,2001,3.0556,7.2923,2
1806: Rossbach Avenged,1998,3.3636,6.92011,4
The Godfather Game,1971,2.4,5.76508,4
Crash Tackle Rugby Board Game,2001,2.4688,7.69255,2
UNO Dice,1987,1.1333,4.86962,6
Chess for Three,1992,3.25,5.89286,3
Noteability,1990,1.2,4.55991,6
Wicketz,1989,2.6667,6.36053,2
Claim,1983,2.2857,6.37417,4
"Stand & Die: The Battle of Borodino, 1941",1991,3.5556,5.41667,2
The A-Team,1984,1,4.29455,4
Monopoly: Looney Tunes,2000,1.6667,5.18789,8
Origins,1995,1.1429,4.99296,6
Clue VCR Mystery Game,1985,1.8,5.86463,10
VCR 221B Baker Street,1987,0,5.95,10
Realm,1973,3.1667,6.80385,2
By Jove,1983,1.25,4.98205,6
Baggage Claim,1987,1,5.12647,4
Cluedo Super Sleuth,1995,2.1111,6.12032,6
The Last Days of the Grande Armee: The Four Days of Waterloo,1998,3.0667,6.51615,2
Kung Fu 2100,1980,1.6,6.27229,2
Escape from Altassar,1982,2.3333,5.66061,2
Swordquest,1979,2,6.06765,3
Star Trek: Starship Tactical Combat Simulator,1983,2.875,6.72407,6
Panzergruppe Guderian,1976,2.8152,7.34579,2
Survival / The Barbarian,1979,1.2,5.10351,6
Air Assault on Crete / Invasion of Malta: 1942,1977,3.2,6.44027,2
Pentantastar,1983,2.1667,5.72629,4
"Red Sun/Red Star: The Nomonhan Campaign, 1939",1993,2.7692,5.85606,2
Rails Through the Rockies,1981,3.2857,5.67045,4
Trivial Pursuit: Millennium Edition,1999,1.525,5.31729,6
Blood on the Tigris,1995,3.2,5.91328,2
"Napoleon at Bay: Defend the Gates of Paris, 1814",1997,3.5789,7.6602,2
How to Host a Murder: The Last Train from Paris,1985,2.1111,6.65132,8
Sim City: The Card Game,1994,2.3191,4.38678,99
Bonaparte in Italy,1979,3.1667,7.17851,2
Sideshow: The Campaign for German East Africa 1914-1918,1990,2.8333,6.235,2
Warp 6,2002,1.7895,6.53067,3
Rebound,1971,1,5.61084,4
Samurai,1996,3.44,7.08258,2
Pyramis,1991,2.5,5.87647,2
March Madness,1991,2.2667,6.31557,64
CribbGolf,1988,1.5714,6.17423,6
Monopoly: Stock Exchange,2001,2.3529,5.6846,6
James Clavell's Shogun Card Game,1983,2,6.18169,8
Komme Gleich,1996,4,4.04545,6
Red Parachutes: Soviet Airborne Assault Across the Dnepr,1995,3.0455,6.82143,2
Blood Bowl,1986,2.7,5.99123,2
Necromunda,1995,3.1131,7.31539,4
Uncle Wiggily,1916,1.0312,4.14866,4
Hamlet!,2002,2.6667,5.97302,8
Puerto Rico,2002,3.2769,7.96884,5
The Game of Real Life,1998,1.1667,5.83631,6
Knockabout,2001,2.5556,6.70162,2
RSVP,1958,2.25,5.32644,2
Rubik's Flip,1981,1.375,5.85594,2
Submarine,1976,3.2533,6.51932,6
Buccaneer,1938,1.3902,6.01035,6
Gang of Four,1990,1.8689,6.61332,4
The Omega Virus,1992,1.8023,6.40447,4
Bounty Hunter: Shootout at the Saloon,1982,1.9444,5.45333,2
Doctor Who: The Game of Time & Space,1980,2.0435,5.37131,6
The Great Game of Britain,1973,1.4737,5.69495,5
Croak!,1999,1.5625,6.49318,4
Star Trek: The Adventure Game,1985,2.2812,6.90588,2
Ascension at Firepeak,2001,1.5,5.91176,5
1849: The Game of Sicilian Railways,1998,4.2381,8.25541,5
Gettysburg,1958,2.2979,5.73383,2
Backpacks and Blisters,1993,2,6.19182,6
Banque Fatale,1997,2,5.93846,4
Mömmen,2001,1,5.49405,5
Goblin,1982,2.8,6.51,2
Starmada X,2000,3,7,2
Dragon Rage,1982,2.68,6.86462,2
And They're Off!,1993,1.6667,5.9881,22
Poleconomy,1977,2.0833,5.46916,6
Haste Worte?,1997,1.4211,6.81372,8
Doctor Who Collectible Card Game,1996,1.7778,3.50684,2
7th Sea Collectible Card Game,1998,2.4828,6.70225,6
Age of Empires: Expandable Card Game,2000,3.2308,5.91885,4
Clippers,2002,2.62,6.57811,5
1876: Trinidad,1996,3,6.11176,5
1899,1994,4.1667,6.51909,6
Captain Park's Imaginary Polar Expedition,2002,1.5472,6.03598,7
Anno Domini: Erfindungen,1999,1.4884,6.72922,8
Cairo,2002,1.2593,5.8483,5
Goldland,2002,2.3897,6.64178,5
Sixmix,1999,1.1429,4.79842,5
The Bucket King,2002,1.2328,6.32096,6
High Hand,1963,1.8,5.63715,4
Mandarin,1991,1.25,6.40114,5
Lost Valley of the Dinosaurs,1985,1.225,6.2226,4
Taktvoll,1993,1.5,5.37097,8
Star Wars: Starfighter Battle Book,1989,1.6471,6.54553,2
Nautilus,2002,2.6641,6.35807,4
Lumberjack,2002,1.4667,5.75122,5
The Warriors of Batak,1982,2,5.88182,2
All-Star Baseball,1941,1.3077,5.98061,2
Zahltag,2002,1.5,5.6836,4
Holy War,1979,2.0667,5.154,2
Port Stanley: Battle for the Falklands,1984,2.9231,6.40338,2
Invasion of the Air-eaters,1979,1.9286,6.29919,2
Doom of the Eldar,1993,2.4167,6.42857,2
Horus Heresy (1993),1993,2.4706,6.48357,2
Titan Strike!,1979,2.5714,5.78795,2
The ElfQuest Boardgame,1986,2,5.06,5
Battle for Armageddon,1992,2.4375,6.55122,2
Farkle,1996,1.1151,5.57999,6
Vanished!,1990,1.5217,5.78502,6
Car Wars (Fifth Edition),2002,2.4545,6.11458,2
Bionicle: Quest For The Masks CCG,2001,1.6667,4.0268,4
BAS-KET,1938,1,5.43779,2
Quixo,1995,1.6,6.17569,4
Dots,1998,1,5.0377,6
Hecht im Karpfenteich,1990,0,5.9575,6
Lord of the Rings: The Confrontation,2002,2.1897,7.1979,2
RAF,1986,3.1294,7.3828,1
Contack,1939,1.4444,5.35246,7
Da geht was ab im Morgenland,1999,1.5,4.71538,5
Dragonland,2002,1.8411,6.28254,4
Pennant Race,1983,1.9231,5.57849,12
Hekla,2001,2.4444,6.52132,4
Avalon Hill Game Company's Game of Trivia,1981,2,4.93778,6
The Arab-Israeli Wars: Tank Battles in the Mideast,1977,3.2182,6.38876,2
Demonworld,1999,4.2,6.77244,6
Bowl Bound,1973,1.871,7.01096,4
Pueblo,2002,2.2524,6.9349,4
"The Game of Medici: Arms, Loves and Betrayals in XVth Century Europe",1982,2.6,6.69808,6
Tyros,2002,2.4667,6.45297,4
Die Sieben Weisen,2002,2.4,5.99886,5
Fraggle Rock,1984,1,5.03333,5
Ballast,1998,1,5.23256,4
Dschunke,2002,2.531,6.63063,4
WildLife,2002,3.0692,6.65246,6
Against the Reich,1986,3.1739,6.84627,2
Rally: Risk and Evaluation on All Roads in the Worlds,1980,1.75,6.62265,6
Nessie Hunt,1986,1.6667,5.81704,5
Victory at Sea,1992,2.3333,7.10588,2
Jack The Ripper,1983,2.625,6.90156,2
Clash of the Gladiators,2002,1.5437,5.90943,5
Wooly Wars,2002,1.6615,6.09258,4
Cerberus: The Proxima Centauri Campaign,1979,2.625,6.17794,2
Albion: Land of Faerie,1981,2.8125,6.66308,2
Planet Busters,1982,1.6429,5.84262,4
Citadel of Blood,1980,2.3913,6.50857,6
Rescue from the Hive,1981,2.4615,5.76065,2
Barbarian Kings,1980,2.4118,5.99791,5
Perpetual Notion,1993,1,5.18644,4
Cash Flow,1987,1.6,4.93485,6
The Powerpuff Girls: Villains at Large Game,2000,1.2941,6.44874,4
Ukraine '43,2000,3.5517,7.84189,4
NUTS!,1998,2.6154,6.06852,4
Alien Autopsy,1997,1.25,4.23333,4
Pizarro & Co.,2002,2.4493,6.51943,6
Bunker Poker,1999,1,4.8814,4
Clue: The Card Game,2002,1.5593,5.84282,5
Lamarckian Poker,1997,1.6111,6.46024,6
Battlesuit,1983,2.3571,5.41031,2
Cat Attack,2002,1.75,5.50417,6
Imperator,2002,3,7.45429,2
Skittles,1801,1,5.69118,4
Magi-Nation Duel,2000,2.7143,7.04622,4
Star Wars: Epic Duels,2002,1.7794,7.00674,6
Star Wars: Jedi Unleashed,2002,1.4444,4.74752,5
Maskenball Venezia,1999,1.1111,5.50143,12
König Artus Tafelrunde,1993,1.6667,5.87705,6
Dumm gelaufen!,1998,1.2,5.53373,6
Athos,1993,1.6667,5.52905,4
Grabsch,1998,1,4.33333,4
Schleck und weg!!,2002,1,5.09545,6
Machu Picchu,1998,1.6667,5.00623,4
Anticipation,1987,1.2308,5.7555,4
Hack Attack,2000,1.5,4.12289,2
Wallenstein,2002,3.3094,7.46615,5
Air Cav,1985,2.8421,5.96163,2
1776: The Game of the American Revolutionary War,1974,3.1103,6.51014,2
Traverse,1987,1.9688,5.97528,4
Lügenbeutel,1978,1.3636,5.39333,8
Prussia's Glory: The Battles of Frederick the Great,2002,2.8214,6.71512,2
Royal Hearts,2001,1.625,6.46515,6
Heave Ho!,2002,1.2874,6.26117,2
Neutreeko,2001,2,5.4612,2
The Game of Life: A Jedi's Path,2002,1.3714,5.3083,4
Die Pyramiden des Jaguar,2002,1.7273,6.072,2
Railroader,1963,1.5,5.36724,4
Chartbuster,1970,2,6.95625,6
Hans Dampf,1989,1.5,4.79048,8
Peloton,1991,2.4,7,12
Ganoven Jagd,1983,2,5.9641,2
Double Down,1993,1.0606,5.62335,8
Nimm's Leich!,1997,1,5.7814,6
Diceland: Deep White Sea,2002,1.92,6.41899,5
Hard Vacuum,2000,2.7143,7.38795,8
Burn Rate,2002,1.5893,6.05688,4
Soccerama,1968,1.6667,5.15714,6
Go For Broke,1965,1.1296,4.75292,6
Lone Wolf and Cub Game,1989,1.8333,4.2878,2
Solo,1993,1.0357,5.34271,10
Santa Fe Rails,2001,2.5152,6.79877,5
Die Safeknacker,1996,1.6667,5.88875,5
Wer ist der Täter?,1989,1.25,5.6129,12
Gouda! Gouda!,2002,1.1923,5.21869,6
World War II: Barbarossa to Berlin,2002,3.537,7.31912,2
Tide of Fortune,1993,3.1429,5.94444,2
Junk Yard,2002,3,5.95,6
Musketeers,1985,1.75,5.41395,3
Wie Hund und Katz!,2002,1.5,5.59138,6
Affenraffen,2002,1.1429,5.89674,6
Anagrams,1910,2,6.65238,6
Lexicon,1932,1.4545,5.64583,4
Gumshoe,1985,3,7.52862,6
John Carter: Warlord of Mars,1979,3.1053,6.58458,6
Connections,1991,1.75,5.76108,2
September,1985,2,5.24419,2
San Gimignano,2002,2,5.52078,4
Scrabble Crossword Cubes Game,1964,1,5.74957,6
The Company War,1983,2.5,5.94595,4
20 Questions,1988,1.3387,5.68999,7
The Inventors,1974,1.3846,5.4898,4
Mahé,1974,1.2391,6.32741,6
Kerrunch,1991,2.25,5.675,2
Stratego: Star Wars,2002,1.7143,6.03016,2
Castle Lords,2002,1.3125,4.48372,6
Friends,1999,1.8,4.0186,10
Public Assistance,1980,1.4444,4.42857,4
Monopoly: The Simpsons,2001,1.6154,5.24865,6
Eye of Horus,2002,1.4,5.08558,8
Modigliani,1993,2,6.85848,6
Rise and Fall,1989,2.375,6.52316,6
The Legend of Landlock,1995,1.2439,5.75661,4
Tin Soldiers,2002,1.6316,5.82965,5
Lines of Action,1969,2.7174,7.07471,2
This Accursed Civil War,2002,3.5179,7.56103,2
The Napoleonic Wars,2002,3.466,7.02003,5
Drive on Paris,2000,2.7619,6.93072,2
Brandywine,2000,2.6667,7.31244,2
Saratoga,1998,2.5435,7.14128,2
"Yom Kippur: The Battle for the Sinai, October, 1973",1995,2.5882,7.00192,2
Fallschirmjaeger: The Airborne Assault on Fortress Holland,2001,3.0417,7.77548,2
Tribulation,1974,1.6667,5.70647,6
Star Trek: The Game,1992,2.3333,4.32831,6
StreetSoccer,2002,1.5407,6.52682,2
Fantasy,2001,1.1707,4.97254,4
Equations,1963,3,6.625,6
Skunk,1953,1,5.72036,8
Blockhead!,1952,1.0476,5.42158,6
The Three Stooges Card Game,1998,1.3333,4.73456,3
Golden Deuce,2002,1.7333,5.49711,4
Zwergen Ziehen,1997,1.1538,5.77232,4
HeroClix,2002,2.822,6.50559,2
The Game of Maze,1990,1,4.01562,4
Coffee!,2002,1.5,4.65,4
Emerald,2002,1.6763,6.35305,5
Tabula,1990,1.3846,5.76739,2
Major Battles and Campaigns of General George S. Patton,1973,1.8,6.46102,2
Wizard,1978,2.2683,7.33788,2
Melee,1977,2.2857,7.30063,2
Black Hole,1978,1.7,5.576,2
WarpWar,1977,2.037,6.32509,2
Panzer Pranks,1980,2.4167,6.05116,2
Le Mans,1961,2.1818,6.43155,12
Plagio,1999,2,6.52548,0
RisiKard!,1996,2,5.47813,6
Shadowfist,1995,2.5581,7.11188,7
Shadowrun: DMZ Downtown Militarized Zone,1990,2.5,5.23547,2
Past Lives,1988,1.5,4.37699,8
Pinocchio,2000,1,5.41818,6
Armada,1986,2.1951,5.20432,4
Anno Domini,1995,1.8,5.95918,4
Bataclan,1997,1.1667,4.83182,6
BattleTech CCG,1996,2.4675,6.48814,2
C-23,1998,1.5,4.83766,3
Dragon Storm,1996,2.5,5.82439,8
Harry Potter Trading Card Game,2001,1.962,6.16491,2
3-D Chess,1851,4.0714,5.92443,2
Schmuggler an Bord,1992,1.25,6.08684,6
Fantasy,1990,2.2,5.16667,6
Star of the Guardians,1995,2,4.54106,2
Star Quest,1995,1.75,4.19175,8
Super Deck!,1994,1.4444,2.07649,2
By Golly!,2001,1.0385,5.99888,6
Battle of the Sexes,1997,1.0789,3.50343,8
Doorways to Adventure,1986,1.4,5.74444,6
Electronic Stratego,1982,1.75,6.35935,2
Game of Knowledge,1984,1.6667,5.41833,10
"Men Are from Mars, Women Are from Venus",1998,1.375,3.89364,0
Option,1982,2.1429,5.545,4
Tornado Rex,1991,1.1538,6.694,4
Napoleon in Europe,2001,3.4615,6.62467,7
LCR,1983,1.0476,3.45223,12
Decision At Kasserine: Rommel's Last Chance,1983,3.1176,7.0896,4
Geeks: The Convention,2001,1.6667,4.65909,5
Act One,1995,1.2857,5.27131,99
Iliad: The Most Renowned War Legend,1979,2.625,5.84028,8
Priceless,1996,2.4,5.96449,4
Vampire Hunter,2002,1.3056,5.21754,4
The Return of the Stainless Steel Rat,1981,2.6,6.6553,2
Damocles Mission,1983,2.7143,6.30181,1
Arena of Death: Heroic Combat in the Fantasy World of DragonQuest,1980,2.1111,5.3619,20
Star Trader,1982,3.7317,7.23609,6
Nightmare House,1983,3,6.05645,5
Gnome Tribes,2001,1.5,4.20556,4
Tic Tac Chec,1995,2.1667,5.86944,2
Spider-Man,2002,2.25,6.09576,6
Survival of the Witless,1997,1.7273,4.42907,8
Assault on Hoth: The Empire Strikes Back,1988,2.209,6.9644,2
Superpower,1986,2.1,4.35724,6
Infinity,1974,1.6667,6.03462,4
Close Action: The Age of Fighting Sail Vol. 1,1997,3.5,7.81909,30
Rich Uncle,1946,1.3077,5.76282,5
Steppe,1985,2.4,6.34848,2
Quizzard,1987,1.6667,5.78889,6
Ice War,1978,2.1538,5.99894,2
Ram Speed: Naval Warfare in the Bronze Age,1980,1.9375,6.10238,2
Theophrastus,2001,2.125,5.92003,5
The Lord of the Rings: The Fellowship of the Ring,2001,2.8462,6.51762,2
Programmer's Nightmare,1998,2.6667,5.66,6
Mordheim: City of the Damned,1999,3.0882,7.31306,6
Thinking Man's Football,1966,2.3333,5.50345,2
Roller Coaster Tycoon,2002,1.5588,6.08268,4
Stage II,1985,1.9091,6.33321,2
Robin Hood,1990,1.4,5.66386,6
Chicken Cha Cha Cha,1997,1.1227,6.56525,4
Spitfire: Tactical Aerial Combat in Europe 1939-42,1973,2.7778,5.70455,2
Invasion: America – Death Throes of the Superpower,1976,3.1786,6.60885,5
Napoleon at Waterloo,1971,1.9048,6.6493,2
Tank! Armored Combat in the 20th Century,1974,2.75,5.13333,2
The Plot to Assassinate Hitler,1976,2.8571,5.75539,2
Operation Olympic: The Invasion of Japan 1 November 1945,1974,2.6667,6.33855,2
Terrible Swift Sword: Battle of Gettysburg Game,1976,4.1667,7.46869,6
BattleBots: Kickbot Arena,2001,1.2,4.31356,2
Lion of the North: The Dawn of Modern Warfare,1993,3.6842,6.30993,4
World War 3: 1976-1984,1975,3.2667,5.09229,2
Sorcerer: The Game of Magical Conflict,1975,2.68,5.55369,6
Sherlock,1999,1.0923,6.26724,5
Campaign Trail: The Game of Presidential Elections,1983,1.75,6.57955,6
Star Wars: Star Warriors,1987,3.1746,6.89588,6
Star Wars: Battle for Endor,1989,2.15,6.14193,1
Squint,2002,1.3582,5.99368,8
Strat-O-Matic Hockey,1978,2.2857,7.23655,2
Tracks to Telluride,1994,3.3333,5.7178,6
Fifth Frontier War,1981,3.0938,6.68521,4
Kriegspiel,1970,1.9535,4.75112,2
The Normandy Campaign,1983,2.8947,6.44161,2
Mamba,2001,2.4,6.33176,4
The Third World War: Battle for Germany,1984,3.4717,7.79303,2
The Game of Shakespeare,1966,1.7692,4.72938,4
Air Force,1976,3.2212,6.46423,2
Word Power,1963,1.25,4.515,8
Pro Football Fantasm,1990,4.3333,7.14773,2
Air Superiority,1987,3.9054,6.76441,6
Agincourt: The Triumph of Archery over Armor,1978,2.875,6.11098,2
BattleForce,1987,3.1765,6.06443,20
Operation Pegasus,1980,3.2,6.43529,2
The World at War,1990,3.3913,6.40207,5
TrainSport: Austria,1996,2.6,6.20192,5
eBay: The Card Game,2001,1.8333,5.08136,6
Survivor,2000,1.25,4.02254,8
DeathMaze,1979,1.6923,6.00081,6
Demons,1979,2,5.51536,4
Chaostle,2011,2.25,6.39303,8
Freche Frösche,2002,1,5.59167,6
Start Your Own Riot!,2002,1.3333,4.71466,6
Flinke Flitzer,2000,1,5.42063,4
Too Many Cooks,2002,1.4,6.3406,5
Sid Meier's Civilization: The Boardgame,2002,3.6633,5.59756,6
Iberos,2002,2.9,6.15,2
SongBurst 50's & 60's Edition,1990,1.1667,5.1588,0
Triplanetary,1973,2.4348,6.95179,3
Strange New Worlds,1978,3,5.685,6
Spy Ring,1965,1.5,5.20758,4
Grand Imperialism,1978,2.2,6.96835,6
Spellmaker,1978,1.8182,6.14237,4
History of the Second World War,1985,2.5,4.17656,2
Luftwaffe: The Game of Aerial Combat Over Germany 1943-45,1970,2.6606,5.65873,2
Power Play,1981,1.6667,5.70588,4
The Twilight War,1984,2.5455,5.08182,4
The Settlers of Canaan,2002,2.3197,6.75568,4
Score Four,1967,1.8,5.96783,4
Redemption: City of Bondage,1996,1.9333,5.86053,4
Cube Farm,2002,1.5333,5.81714,5
Imperium: Empires in Conflict – Worlds in the Balance,1977,2.6438,6.87433,2
BattleFleet Mars: Space Combat in the 21st Century,1977,3.2222,6.47681,2
"Outreach: The Conquest of the Galaxy, 3000AD",1976,3.3438,6.56042,4
Grand Mastermind,1974,2.9091,5.76029,2
Raider!: A Tactical Game of Commerce Raiding in WWII,1981,3.2727,7.00444,6
Star Fleet Battle Manual,1977,2,7.10526,8
Tribbles Customizable Card Game,2000,1.5,5.55144,4
Moon Base Clavius,1982,2.1667,5.94024,2
Battlewagon,1981,2.4444,6.35744,6
Hot Spot,1979,1.6667,5.27625,2
Fast Attack Boats: A Game of the Arab-Israeli Naval War 1973,1980,2.4615,6.21738,3
Global Pursuit,1987,1.8421,5.20443,6
Ultimatum: A Game of Nuclear Confrontation,1979,3.05,5.69754,2
Ramparts,1993,2.3429,6.25152,4
Go For The Green,1973,1.7,5.67041,4
Hammer of the Scots,2002,2.9768,7.54925,2
Yu-Gi-Oh Millennium Game,2002,1.5,4.69271,4
Picture Pursuit,1994,2,4.78409,99
Think Alike,1992,1,5.27273,99
Harvest of Death: The Second Day at Gettysburg,1989,2.3333,6.43452,2
Firepower,1984,3.6795,6.19435,6
Empires at War,1993,2.7778,5.55857,2
Great Medieval Battles: Four Battles from the Middle Ages,1979,2.3077,6.90099,2
Channel Surfing,1994,1.4,4.21187,99
Clontarf,1993,2,5.46933,2
Killer Bunnies and the Quest for the Magic Carrot,2002,1.8848,5.4966,8
Monster Island,2002,1.6667,7.19149,2
Smear,1999,1.1667,5.37856,6
Topple,1983,1.1579,5.10783,4
Contraband,1950,1.3636,5.8464,6
Batik,1997,1.1154,5.92507,2
Red Storm Rising,1989,2.6078,6.28004,4
MBT,1989,3.7907,6.66638,6
Flight Leader,1986,3.55,6.19248,8
Tac Air,1987,3.25,6.25919,4
Gregory Horror Show,2002,1.3333,4.9299,4
Tractics,1975,4.0909,6.54773,2
British Square,1978,1.25,4.62195,2
Subbuteo,1947,1.8092,6.96425,2
Peanut Butter & Jelly Card Game,1971,1,4.83284,4
1809: Napoleon's Danube Campaign,1984,3.5,6.46723,2
Qwitch,2002,1.0952,5.66929,8
Carla Cat,1955,1.0204,5.7054,8
Ker Plunk,1967,1.0396,4.7667,4
Statis Pro Baseball,1971,2.1731,7.17848,2
Stock Market Guru,1997,2.5625,5.89176,10
Gooey Louie,1995,1,3.94618,8
Operation,1965,1.1132,4.11878,6
Bioviva,1996,1.7143,5.2138,6
Star Trek Trivia Game,2000,2.1667,6.01224,4
Sumo!,2000,1.2667,5.82606,2
Palazzo Paletti,2002,1.1667,6.756,4
Estanciero,1937,2.3333,5.21571,6
Triopoly,1997,1.9091,5.21433,8
Make Your Own Opoly,1998,1.5,4.02157,6
Trinity: Battleground,1997,2.6667,5.91463,2
Mister Diamond,1993,1,5.29864,8
Babylon 5 Wars,1997,3.6087,6.56827,2
Second Front,1994,4.6,7.30678,2
Palabra,1990,2,6.27362,6
Mystick Companion,2000,3,6.61463,5
Pig Pong,1986,1,5.68872,4
Legend of Zagor,1993,1.7,6.11471,4
Himalaya,2002,2.5739,6.99698,4
When Darkness Comes,2002,2.4583,5.59652,6
Slamwich,1994,1.1,5.13081,6
Domino Dice,2000,1,5.77615,6
UNO: Star Trek,1999,1.0588,5.93405,10
Smokejumpers,1996,2.3333,6.59086,1
"Breakout & Pursuit: The Battle for France, 1944",1972,2.6,6.1375,2
Desert War: Tactical Warfare in North Africa,1973,3.125,5.714,4
"World War II: European Theater of Operations, 1939-45",1973,2.5833,5.82083,6
Alias,1991,1.2637,5.83383,12
Star Fleet Missions,1992,1.0909,4.54388,6
Breakthrough,2001,2.3636,6.53467,2
